type	dep_arg_span	filler	insert_position	pred_span	casemk	answers
zero		子どもが	[2, 3]	[2, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
zero		読書を	[3, 10]	[3, 25, 25]	o	['A', 'A', 'A', 'A', 'A']
zero		国語の苦手な子が	[4, 5]	[4, 18, 18]	ga	['A', 'A', 'A', 'A', 'A']
dep	[5, 24, 26]			[5, 27, 28]	ga	['F', 'G', 'K', 'K', 'H']
zero		ぼくが	[8, 6]	[8, 19, 19]	ga	['E', 'D', 'D', 'L', 'L']
dep	[9, 2, 3]			[9, 4, 4]	o	['K', 'J', 'K', 'K', 'K']
dep	[10, 10, 11]			[10, 12, 12]	o	['F', 'F', 'K', 'D', 'K']
zero		問題を書いた紙に	[11, 1]	[11, 3, 3]	ni	['D', 'D', 'F', 'A', 'B']
zero		ぼくが	[12, 0]	[12, 3, 3]	ga	['A', 'A', 'A', 'A', 'C']
zero		回答が	[13, 3]	[13, 6, 6]	ga	['D', 'A', 'F', 'K', 'F']
zero		ぼくが	[14, 1]	[14, 1, 1]	ga	['D', 'A', 'C', 'D', 'C']
dep	[15, 1, 2]			[15, 3, 3]	o	['K', 'K', 'K', 'K', 'K']
zero		楽しいアニマシオンを	[16, 3]	[16, 8, 9]	o	['D', 'H', 'D', 'D', 'D']
dep	[17, 5, 6]			[17, 7, 7]	o	['H', 'J', 'K', 'K', 'F']
dep	[18, 0, 2]			[18, 3, 3]	o	['K', 'K', 'K', 'K', 'K']
dep	[19, 0, 1]			[19, 4, 4]	ni	['K', 'J', 'K', 'D', 'G']
dep	[23, 1, 2]			[23, 3, 3]	o	['K', 'H', 'H', 'G', 'G']
dep	[29, 0, 4]			[29, 7, 8]	ni	['K', 'K', 'K', 'F', 'K']
dep	[30, 3, 4]			[30, 5, 6]	o	['K', 'H', 'K', 'K', 'H']
dep	[31, 1, 2]			[31, 7, 7]	ni	['K', 'K', 'K', 'K', 'K']
zero		チームが	[32, 0]	[32, 2, 2]	ga	['D', 'D', 'D', 'D', 'D']
zero		チームが	[33, 1]	[33, 8, 8]	ga	['D', 'D', 'D', 'D', 'D']
dep	[34, 0, 3]			[34, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
zero		回答を	[36, 4]	[36, 11, 11]	o	['D', 'F', 'F', 'D', 'A']
zero		わかったチームが	[38, 1]	[38, 3, 3]	ga	['D', 'D', 'A', 'D', 'A']
zero		わかったチームが	[39, 5]	[39, 9, 10]	ga	['D', 'A', 'A', 'A', 'A']
dep	[41, 1, 2]			[41, 3, 3]	ga	['K', 'K', 'K', 'K', 'H']
dep	[44, 13, 16]			[44, 17, 17]	ga	['K', 'K', 'K', 'K', 'K']
dep	[45, 8, 11]			[45, 12, 12]	ga	['K', 'K', 'K', 'K', 'K']
zero		こんな子が	[46, 4]	[46, 10, 10]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[49, 1]	[49, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
dep	[50, 0, 1]			[50, 4, 4]	ga	['I', 'F', 'H', 'H', 'H']
dep	[51, 0, 1]			[51, 3, 3]	ga	['K', 'K', 'K', 'K', 'J']
zero		この時間が	[52, 5]	[52, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
dep	[53, 5, 12]			[53, 16, 16]	ga	['K', 'K', 'J', 'K', 'K']
zero		子どもが	[55, 1]	[55, 6, 6]	ga	['F', 'J', 'D', 'K', 'F']
zero		ぼくが	[56, 1]	[56, 4, 4]	ga	['F', 'D', 'C', 'E', 'L']
zero		ぼくが	[57, 4]	[57, 11, 11]	ga	['D', 'D', 'C', 'L', 'D']
zero		子どもが	[59, 0]	[59, 2, 2]	ga	['A', 'D', 'A', 'D', 'A']
zero		子どもが	[60, 1]	[60, 5, 5]	ga	['A', 'D', 'D', 'A', 'D']
dep	[61, 0, 3]			[61, 14, 14]	ga	['D', 'F', 'D', 'F', 'F']
zero		ぼくが	[62, 0]	[62, 2, 2]	ga	['A', 'A', 'D', 'D', 'A']
dep	[63, 0, 1]			[63, 11, 11]	ga	['A', 'A', 'D', 'F', 'F']
zero		ぼくが	[64, 0]	[64, 5, 5]	ga	['F', 'A', 'C', 'D', 'A']
zero		たつや君が	[66, 2]	[66, 6, 6]	ga	['D', 'A', 'A', 'F', 'A']
zero		たつや君が	[67, 2]	[67, 9, 9]	ga	['A', 'A', 'C', 'A', 'A']
dep	[68, 0, 4]			[68, 18, 18]	ga	['K', 'K', 'K', 'K', 'K']
dep	[69, 9, 10]			[69, 15, 15]	ga	['K', 'D', 'D', 'K', 'F']
zero		ぼくが	[70, 2]	[70, 4, 4]	ga	['A', 'A', 'D', 'D', 'A']
dep	[75, 0, 1]			[75, 2, 2]	ga	['K', 'K', 'K', 'K', 'K']
zero		子どもが	[78, 0]	[78, 6, 6]	ga	['D', 'E', 'F', 'D', 'D']
zero		私は	[79, 1]	[79, 14, 14]	ga	['D', 'F', 'D', 'K', 'F']
dep	[80, 0, 1]			[80, 2, 2]	ga	['K', 'H', 'K', 'K', 'H']
zero		子どもたちが	[81, 1]	[81, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
dep	[82, 7, 11]			[82, 14, 14]	ga	['G', 'G', 'F', 'F', 'G']
zero		子どもたちが	[83, 3]	[83, 9, 10]	ga	['D', 'F', 'D', 'D', 'F']
zero		子どもたちが	[84, 8]	[84, 24, 24]	ga	['F', 'F', 'D', 'D', 'D']
