type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[1, 0, 3]			[1, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
dep	[2, 0, 5]			[2, 19, 19]	ga	['K', 'K', 'K', 'K', 'K']
zero		魔法の地図は	[4, 1]	[4, 6, 6]	ga	['D', 'D', 'D', 'A', 'A']
zero		魔法の地図は	[5, 0]	[5, 1, 1]	ga	['D', 'D', 'D', 'A', 'A']
zero		サウードは	[7, 2]	[7, 11, 11]	ga	['D', 'A', 'D', 'A', 'A']
zero		サウードは	[8, 0]	[8, 2, 2]	ga	['D', 'A', 'D', 'A', 'D']
dep	[9, 0, 15]			[9, 16, 16]	ga	['K', 'K', 'K', 'K', 'K']
dep	[11, 4, 5]			[11, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
dep	[12, 4, 5]			[12, 6, 6]	ga	['D', 'D', 'D', 'F', 'F']
zero		人間の願いごとをかなえる力をもつ石が	[18, 4]	[18, 9, 9]	ga	['A', 'A', 'A', 'A', 'A']
dep	[21, 0, 1]			[21, 2, 2]	ga	['F', 'F', 'F', 'F', 'F']
zero		ぼくが	[22, 0]	[22, 0, 0]	ga	['D', 'A', 'D', 'A', 'A']
dep	[24, 0, 1]			[24, 6, 6]	ga	['F', 'F', 'F', 'F', 'F']
dep	[25, 45, 48]			[25, 49, 49]	o	['K', 'K', 'K', 'K', 'K']
dep	[26, 10, 11]			[26, 22, 22]	ga	['K', 'H', 'K', 'K', 'K']
zero		信頼していた大臣たちに	[27, 0]	[27, 0, 0]	ga	['D', 'D', 'F', 'D', 'A']
dep	[28, 0, 1]			[28, 2, 2]	ga	['K', 'K', 'K', 'K', 'K']
dep	[29, 3, 4]			[29, 21, 21]	ga	['F', 'H', 'H', 'K', 'H']
dep	[31, 0, 2]			[31, 4, 4]	ga	['K', 'K', 'D', 'K', 'F']
zero		サウードは	[32, 1]	[32, 7, 7]	ga	['D', 'D', 'D', 'A', 'A']
zero		わたしが	[35, 4]	[35, 7, 7]	ga	['A', 'A', 'A', 'A', 'A']
dep	[36, 0, 2]			[36, 3, 3]	ga	['H', 'H', 'F', 'K', 'F']
zero		あなたたちが	[37, 0]	[37, 12, 12]	ga	['A', 'A', 'A', 'A', 'A']
zero		サウードが	[40, 1]	[40, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
zero		サウードは	[41, 0]	[41, 4, 4]	ga	['A', 'D', 'D', 'A', 'A']
dep	[48, 0, 3]			[48, 6, 6]	ga	['F', 'D', 'F', 'F', 'L']
dep	[50, 0, 3]			[50, 12, 12]	ga	['K', 'K', 'K', 'K', 'F']
zero		幻の風景が	[52, 16]	[52, 38, 38]	ga	['A', 'A', 'A', 'A', 'A']
dep	[53, 13, 16]			[53, 17, 17]	ga	['K', 'F', 'K', 'K', 'F']
zero		サウードが	[55, 0]	[55, 3, 3]	ga	['D', 'D', 'D', 'D', 'D']
dep	[56, 3, 4]			[56, 7, 7]	ga	['F', 'F', 'F', 'F', 'D']
dep	[57, 3, 6]			[57, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
dep	[58, 0, 3]			[58, 18, 18]	ga	['H', 'F', 'F', 'F', 'F']
dep	[59, 0, 1]			[59, 2, 2]	ga	['H', 'F', 'F', 'K', 'G']
dep	[60, 0, 5]			[60, 6, 6]	ga	['K', 'H', 'L', 'F', 'F']
zero		自分が	[61, 1]	[61, 2, 2]	ga	['D', 'D', 'D', 'D', 'D']
zero		人間は	[62, 0]	[62, 0, 0]	ga	['D', 'D', 'D', 'D', 'A']
zero		人間が	[63, 0]	[63, 0, 0]	ga	['F', 'D', 'D', 'F', 'A']
zero		わたしは	[64, 7]	[64, 16, 16]	ga	['D', 'A', 'D', 'D', 'A']
zero		魔物たちが	[65, 0]	[65, 0, 0]	ga	['A', 'A', 'A', 'A', 'A']
zero		宝石のかがやきが	[66, 2]	[66, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
dep	[67, 0, 1]			[67, 4, 4]	ga	['F', 'F', 'F', 'K', 'F']
dep	[69, 0, 3]			[69, 6, 6]	ga	['K', 'J', 'F', 'F', 'F']
zero		サウードは	[70, 0]	[70, 4, 4]	ga	['D', 'F', 'D', 'A', 'A']
zero		サウードが	[72, 6]	[72, 22, 22]	ga	['A', 'A', 'A', 'A', 'A']
zero		サウードは	[73, 2]	[73, 7, 7]	ga	['A', 'D', 'D', 'D', 'A']
zero		サウードが	[75, 1]	[75, 3, 3]	ga	['A', 'A', 'A', 'A', 'A']
zero		城を	[77, 6]	[77, 16, 16]	o	['A', 'D', 'D', 'A', 'F']
zero		鼻ひげを生やした大臣が	[80, 9]	[80, 26, 26]	ga	['A', 'A', 'A', 'A', 'A']
zero		鼻ひげを生やした大臣が	[81, 0]	[81, 4, 4]	ga	['D', 'K', 'K', 'A', 'A']
dep	[82, 29, 35]			[82, 36, 36]	o	['K', 'K', 'K', 'K', 'K']
dep	[84, 10, 13]			[84, 14, 14]	ni	['K', 'K', 'K', 'K', 'H']
dep	[85, 6, 7]			[85, 8, 8]	ga	['H', 'H', 'F', 'F', 'F']
zero		魔法の宝石ひとつだけが	[87, 3]	[87, 12, 12]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[88, 3]	[88, 12, 12]	ga	['D', 'A', 'A', 'D', 'F']
dep	[89, 4, 7]			[89, 15, 15]	ga	['H', 'F', 'F', 'K', 'L']
zero		あなたは	[90, 1]	[90, 5, 5]	ga	['D', 'A', 'D', 'D', 'D']
dep	[92, 14, 15]			[92, 16, 16]	ga	['K', 'K', 'K', 'K', 'K']
dep	[93, 6, 7]			[93, 8, 8]	ga	['K', 'K', 'K', 'K', 'K']
dep	[94, 0, 3]			[94, 7, 7]	ga	['F', 'K', 'K', 'K', 'K']
dep	[95, 33, 36]			[95, 37, 37]	ga	['K', 'K', 'K', 'K', 'K']
zero		大臣が	[98, 1]	[98, 4, 4]	ga	['A', 'A', 'A', 'A', 'A']
zero		私は	[101, 5]	[101, 10, 10]	ga	['D', 'A', 'D', 'D', 'D']
dep	[102, 0, 2]			[102, 3, 3]	ga	['F', 'H', 'F', 'K', 'F']
dep	[103, 15, 25]			[103, 26, 26]	ni	['K', 'K', 'K', 'K', 'K']
dep	[104, 10, 11]			[104, 12, 12]	ga	['H', 'F', 'F', 'F', 'F']
zero		われわれが	[106, 0]	[106, 0, 0]	ga	['F', 'D', 'D', 'D', 'D']
zero		あなたが	[108, 2]	[108, 7, 7]	ga	['D', 'A', 'D', 'D', 'D']
zero		あなたが	[109, 2]	[109, 7, 7]	ga	['D', 'A', 'D', 'A', 'D']
zero		私が	[114, 0]	[114, 0, 0]	ga	['F', 'A', 'F', 'D', 'D']
zero		うそが	[115, 5]	[115, 13, 13]	ga	['A', 'A', 'A', 'A', 'A']
dep	[116, 3, 7]			[116, 14, 14]	ga	['K', 'H', 'K', 'K', 'F']
zero		人魚の王が	[117, 2]	[117, 3, 3]	ga	['D', 'F', 'D', 'D', 'A']
dep	[118, 0, 3]			[118, 8, 8]	ga	['H', 'K', 'F', 'K', 'F']
dep	[119, 0, 4]			[119, 7, 7]	ga	['F', 'I', 'K', 'K', 'I']
dep	[120, 0, 3]			[120, 9, 9]	ga	['F', 'H', 'K', 'K', 'I']
zero		大臣が	[121, 1]	[121, 3, 3]	ga	['A', 'A', 'A', 'A', 'A']
zero		人魚の王が	[122, 5]	[122, 13, 13]	ga	['A', 'A', 'A', 'A', 'A']
zero		人魚の王が	[123, 7]	[123, 15, 15]	ga	['D', 'D', 'D', 'D', 'A']
zero		わたしが	[124, 2]	[124, 9, 9]	ga	['A', 'A', 'A', 'A', 'A']
zero		あなたが	[125, 0]	[125, 2, 2]	ga	['D', 'A', 'D', 'A', 'A']
zero		あなたが	[126, 1]	[126, 1, 1]	ga	['D', 'A', 'C', 'D', 'A']
dep	[127, 0, 2]			[127, 7, 7]	ga	['H', 'K', 'K', 'K', 'F']
zero		私が	[129, 6]	[129, 14, 14]	ga	['D', 'A', 'D', 'A', 'A']
dep	[132, 15, 16]			[132, 17, 17]	ga	['K', 'K', 'K', 'K', 'K']
dep	[133, 0, 4]			[133, 5, 5]	ga	['K', 'K', 'K', 'K', 'K']
zero		サウードが	[134, 2]	[134, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
