type	dep_arg_span	filler	insert_position	pred	casemk	answers
zero		私が	[0, 4]	[0, 12, 12]	ga	['A', 'A', 'A', 'A', 'D']
dep	[3, 4, 5]			[3, 6, 6]	o	['F', 'F', 'D', 'F', 'F']
dep	[4, 0, 12]			[4, 15, 15]	ga	['K', 'K', 'K', 'K', 'K']
zero		私自身が	[5, 4]	[5, 10, 10]	ga	['A', 'A', 'D', 'A', 'D']
dep	[6, 0, 4]			[6, 8, 8]	ga	['E', 'K', 'K', 'K', 'G']
dep	[8, 0, 15]			[8, 33, 33]	ga	['K', 'K', 'K', 'K', 'K']
dep	[9, 25, 27]			[9, 30, 30]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[11, 3]	[11, 14, 14]	ga	['A', 'A', 'A', 'A', 'A']
zero		早い人が	[13, 13]	[13, 34, 35]	ga	['A', 'A', 'A', 'A', 'A']
zero		家を	[14, 2]	[14, 3, 3]	o	['F', 'A', 'F', 'D', 'D']
dep	[15, 5, 10]			[15, 18, 18]	ga	['K', 'K', 'J', 'K', 'K']
dep	[16, 7, 8]			[16, 9, 9]	ni	['F', 'A', 'D', 'F', 'F']
dep	[17, 2, 5]			[17, 10, 10]	ga	['F', 'K', 'H', 'F', 'K']
dep	[18, 3, 9]			[18, 10, 10]	ni	['H', 'K', 'K', 'K', 'K']
zero		今回、監修もしていただいた松岡浩正氏が代表を務めるナカジマホームに	[19, 2]	[19, 6, 7]	ga	['A', 'A', 'A', 'K', 'D']
zero		私たちが	[22, 14]	[22, 36, 36]	ga	['A', 'A', 'A', 'A', 'A']
zero		多くの住宅会社によって	[23, 14]	[23, 41, 41]	ga	['A', 'A', 'A', 'A', 'A']
dep	[24, 32, 33]			[24, 34, 34]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[26, 4]	[26, 15, 15]	ga	['A', 'A', 'D', 'A', 'D']
dep	[27, 5, 12]			[27, 13, 14]	o	['K', 'K', 'K', 'K', 'K']
dep	[28, 0, 19]			[28, 31, 32]	ga	['K', 'K', 'K', 'K', 'K']
zero		それを	[29, 2]	[29, 4, 4]	o	['A', 'A', 'A', 'A', 'A']
zero		お客様が	[30, 7]	[30, 21, 22]	ga	['D', 'E', 'E', 'D', 'D']
zero		私たちのような住宅を提供する者に	[31, 5]	[31, 15, 16]	ga	['A', 'D', 'G', 'K', 'D']
zero		標準仕様を	[34, 5]	[34, 17, 17]	o	['A', 'A', 'A', 'A', 'A']
zero		エコハウス研究会の代表である松岡氏が	[37, 0]	[37, 2, 2]	ga	['A', 'K', 'K', 'D', 'D']
zero		ナカジマホームが	[38, 0]	[38, 14, 14]	ga	['F', 'A', 'K', 'K', 'D']
zero		私が	[39, 10]	[39, 25, 25]	ga	['A', 'A', 'A', 'A', 'A']
dep	[40, 15, 19]			[40, 22, 23]	o	['K', 'K', 'K', 'K', 'K']
dep	[42, 16, 17]			[42, 18, 18]	o	['H', 'K', 'K', 'K', 'K']
dep	[44, 19, 24]			[44, 25, 25]	o	['F', 'K', 'E', 'K', 'K']
dep	[46, 12, 14]			[46, 15, 15]	ga	['F', 'K', 'K', 'K', 'K']
dep	[50, 0, 1]			[50, 2, 2]	ni	['F', 'K', 'K', 'D', 'J']
zero		ナカジマホームが	[51, 6]	[51, 22, 22]	ga	['A', 'A', 'A', 'D', 'D']
zero		ナカジマホームが	[52, 8]	[52, 31, 32]	ga	['A', 'A', 'A', 'F', 'D']
zero		企業が	[55, 0]	[55, 3, 3]	ga	['D', 'A', 'K', 'K', 'E']
dep	[58, 2, 11]			[58, 12, 12]	ga	['K', 'K', 'K', 'D', 'K']
zero		企業が	[59, 9]	[59, 28, 29]	ga	['D', 'A', 'E', 'K', 'E']
dep	[60, 0, 3]			[60, 4, 5]	ga	['F', 'K', 'H', 'K', 'H']
dep	[61, 18, 24]			[61, 25, 25]	o	['K', 'K', 'K', 'A', 'K']
zero		企業が	[64, 19]	[64, 49, 49]	ga	['A', 'A', 'A', 'A', 'E']
zero		私が	[65, 1]	[65, 4, 5]	ga	['A', 'A', 'D', 'D', 'D']
zero		これが	[66, 1]	[66, 2, 2]	ga	['A', 'F', 'A', 'F', 'B']
zero		彼らが	[67, 5]	[67, 13, 14]	ga	['A', 'A', 'D', 'F', 'A']
dep	[68, 18, 21]			[68, 22, 22]	ni	['K', 'K', 'K', 'K', 'K']
dep	[69, 17, 20]			[69, 21, 21]	ga	['D', 'A', 'D', 'D', 'F']
zero		彼らが	[71, 0]	[71, 3, 4]	ga	['A', 'A', 'A', 'D', 'E']
zero		頑丈で耐震性の高い構造体が	[72, 1]	[72, 3, 3]	ga	['A', 'A', 'A', 'A', 'A']
zero		エコハウスが	[73, 2]	[73, 7, 8]	ga	['D', 'A', 'D', 'D', 'D']
dep	[74, 0, 2]			[74, 6, 6]	ga	['F', 'J', 'H', 'H', 'F']
zero		エコハウス研究会が	[77, 1]	[77, 11, 11]	ga	['A', 'A', 'A', 'A', 'A']
dep	[79, 35, 36]			[79, 37, 38]	ga	['F', 'D', 'F', 'K', 'F']
zero		エコハウス研究会が	[80, 2]	[80, 10, 11]	ga	['D', 'D', 'A', 'A', 'D']
dep	[81, 5, 16]			[81, 21, 21]	o	['K', 'K', 'K', 'K', 'K']
zero		私が	[83, 4]	[83, 20, 20]	ga	['A', 'A', 'D', 'A', 'D']
zero		ナカジマホームによって	[86, 5]	[86, 13, 14]	ga	['D', 'F', 'D', 'A', 'D']
dep	[91, 3, 5]			[91, 8, 9]	ni	['K', 'K', 'K', 'K', 'K']
dep	[92, 11, 14]			[92, 16, 16]	ni	['K', 'K', 'K', 'K', 'K']
zero		このドアや窓に惚れ込んでエコハウスを建てている人が	[93, 3]	[93, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
dep	[94, 3, 7]			[94, 8, 9]	ga	['F', 'F', 'D', 'K', 'F']
zero		私が	[96, 1]	[96, 5, 5]	ga	['A', 'A', 'D', 'A', 'D']
dep	[98, 6, 9]			[98, 14, 14]	ni	['F', 'H', 'F', 'D', 'F']
dep	[101, 0, 20]			[101, 23, 23]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[102, 0]	[102, 4, 4]	ga	['A', 'A', 'A', 'A', 'D']
zero		私は	[103, 6]	[103, 20, 20]	ga	['A', 'A', 'A', 'A', 'A']
dep	[104, 0, 3]			[104, 4, 5]	o	['F', 'D', 'F', 'A', 'F']
zero		このビニールクロスを	[105, 1]	[105, 2, 2]	o	['D', 'D', 'D', 'A', 'A']
dep	[106, 3, 13]			[106, 14, 14]	ga	['K', 'K', 'K', 'K', 'K']
zero		いくら建築完成時の見た目はきれいでも、いくら最初のコストは低くても、メンテナンスが容易に美しくできないものを	[107, 15]	[107, 35, 35]	o	['A', 'A', 'A', 'A', 'A']
zero		これにより、人々に	[108, 3]	[108, 7, 7]	ga	['A', 'A', 'A', 'K', 'A']
zero		エコハウス研究会が	[109, 3]	[109, 9, 10]	ga	['D', 'A', 'F', 'D', 'D']
dep	[111, 0, 3]			[111, 6, 6]	ga	['D', 'D', 'G', 'F', 'G']
zero		私たちが	[112, 0]	[112, 4, 4]	ga	['A', 'A', 'E', 'A', 'A']
zero		私たちが	[113, 2]	[113, 8, 8]	ga	['A', 'A', 'A', 'A', 'D']
dep	[116, 8, 9]			[116, 10, 10]	ga	['F', 'H', 'K', 'K', 'H']
zero		エコハウス研究会に	[117, 5]	[117, 18, 18]	ga	['A', 'A', 'A', 'A', 'A']
dep	[120, 0, 3]			[120, 4, 4]	o	['F', 'H', 'K', 'K', 'K']
dep	[121, 0, 2]			[121, 5, 5]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[122, 3]	[122, 12, 12]	ga	['A', 'A', 'A', 'A', 'A']
dep	[123, 18, 21]			[123, 22, 23]	ga	['K', 'K', 'K', 'K', 'K']
dep	[124, 7, 8]			[124, 11, 11]	ga	['F', 'H', 'H', 'K', 'H']
dep	[125, 0, 1]			[125, 2, 2]	ga	['K', 'K', 'K', 'K', 'K']
dep	[126, 9, 21]			[126, 24, 24]	ni	['K', 'K', 'K', 'K', 'K']
zero		家族が	[128, 1]	[128, 6, 6]	ga	['A', 'A', 'D', 'D', 'D']
zero		みなが	[129, 7]	[129, 19, 19]	ga	['D', 'A', 'D', 'D', 'E']
dep	[131, 6, 7]			[131, 8, 8]	ga	['F', 'K', 'K', 'K', 'K']
dep	[132, 4, 7]			[132, 8, 8]	ni	['K', 'K', 'K', 'K', 'K']
zero		天然無垢フローリングのほうが	[133, 16]	[133, 45, 45]	ga	['A', 'A', 'K', 'K', 'A']
dep	[135, 6, 9]			[135, 10, 10]	o	['K', 'K', 'K', 'K', 'K']
dep	[136, 16, 33]			[136, 36, 37]	ni	['K', 'K', 'K', 'A', 'K']
zero		エコハウス研究会が	[139, 1]	[139, 6, 6]	ga	['A', 'A', 'A', 'A', 'D']
dep	[141, 3, 4]			[141, 5, 5]	ga	['K', 'K', 'K', 'K', 'K']
dep	[142, 0, 7]			[142, 10, 10]	ni	['F', 'K', 'F', 'K', 'K']
dep	[145, 3, 9]			[145, 14, 14]	ni	['K', 'K', 'K', 'K', 'K']
zero		畳に	[146, 0]	[146, 2, 2]	ni	['F', 'A', 'D', 'K', 'D']
zero		畳が	[147, 5]	[147, 17, 17]	ga	['F', 'F', 'F', 'D', 'D']
dep	[150, 0, 4]			[150, 5, 6]	o	['K', 'K', 'K', 'K', 'K']
dep	[153, 0, 2]			[153, 17, 17]	ga	['L', 'I', 'F', 'I', 'I']
dep	[154, 6, 8]			[154, 9, 9]	o	['F', 'K', 'F', 'K', 'H']
zero		エコハウス研究会が	[158, 2]	[158, 5, 6]	ga	['A', 'A', 'A', 'A', 'D']
zero		エコハウス研究会が	[159, 1]	[159, 3, 3]	ga	['A', 'A', 'D', 'D', 'D']
zero		エコハウス研究会が	[162, 6]	[162, 24, 25]	ga	['A', 'A', 'A', 'A', 'D']
zero		ＥＣＯドレッサーが	[163, 1]	[163, 3, 3]	ga	['D', 'D', 'D', 'D', 'D']
